தன்+pron+3sg+refl+nom+add	தனும்
அவர்கள்+pron+3sgh+dem+dist+inst+add	அவர்களாலும்
அவர்கள்+pron+3sgh+dem+dist+acc+add	அவர்களையும்
அவர்கள்+pron+3sgh+dem+dist+acc+sandhip	அவர்களைப்
அவர்கள்+pron+3sgh+dem+dist+acc+sandhic	அவர்களைச்
அவர்கள்+pron+3sgh+dem+dist+acc+sandhit	அவர்களைத்
அவர்கள்+pron+3sgh+dem+dist+acc+sandhik	அவர்களைக்
அவர்கள்+pron+3sgh+dem+dist+soc+add	அவர்களொடும்
அவர்கள்+pron+3pl+dem+dist+dat+add	அவர்களுக்கும்
அவர்கள்+pron+3pl+dem+dist+gen+add	அவர்களதும்
அவர்கள்+pron+3pl+dem+dist+loc+add	அவர்களிலும்
அவர்கள்+pron+3pl+dem+dist+loc+foc=ஏயே	அவர்களிலேயே
அவர்கள்+pron+3pl+dem+dist+abl+add	அவர்களிலிருந்தும்
அவர்கள்+pron+3pl+dem+dist+abl+add	அவர்களினும்
அவர்கள்+pron+3pl+dem+dist+loc+add	அவர்களிடமும்
அவர்கள்+pron+3pl+dem+dist+inst+add	அவர்களாலும்
அவர்கள்+pron+3pl+dem+dist+acc+add	அவர்களையும்
அவர்கள்+pron+3pl+dem+dist+acc+sandhip	அவர்களைப்
அவர்கள்+pron+3pl+dem+dist+acc+sandhic	அவர்களைச்
அவர்கள்+pron+3pl+dem+dist+acc+sandhit	அவர்களைத்
அவர்கள்+pron+3pl+dem+dist+acc+sandhik	அவர்களைக்
அவர்கள்+pron+3pl+dem+dist+soc+add	அவர்களொடும்
அவர்கள்+pron+3pl+dem+dist+soc+add	அவர்களோடும்
அவை+pron+dem+dist+3pl+dat+add	அவைக்கும்
அவை+pron+dem+dist+3pl+gen+add	அவைகளதும்
அவை+pron+dem+dist+3pl+dat+add	அவைகளுக்கும்
அவை+pron+dem+dist+3pl+soc+add	அவைகளுடனும்
அவை+pron+dem+dist+3pl+loc+add	அவைகளிலும்
அவை+pron+dem+dist+3pl+loc+foc=ஏயே	அவைகளிலேயே
அவை+pron+dem+dist+3pl+abl+add	அவைகளிலிருந்தும்
அவை+pron+dem+dist+3pl+loc+add	அவைகளிடமும்
அவை+pron+dem+dist+3pl+abl+add	அவைகளினும்
அவை+pron+dem+dist+3pl+soc+add	அவைகளோடும்
அவை+pron+dem+dist+3pl+inst+add	அவைகளாலும்
அவை+pron+dem+dist+3pl+acc+add	அவைகளையும்
அவை+pron+dem+dist+3pl+acc+sandhip	அவைகளைப்
அவை+pron+dem+dist+3pl+acc+sandhic	அவைகளைச்
அவை+pron+dem+dist+3pl+acc+sandhit	அவைகளைத்
அவை+pron+dem+dist+3pl+acc+sandhik	அவைகளைக்
அவை+pron+dem+dist+3pl+gen+add	அவையதும்
அவை+pron+dem+dist+3pl+loc+add	அவையிலும்
அவை+pron+dem+dist+3pl+loc+foc=ஏயே	அவையிலேயே
அவை+pron+dem+dist+3pl+abl+add	அவையிலிருந்தும்
அவை+pron+dem+dist+3pl+loc+add	அவையிடமும்
அவை+pron+dem+dist+3pl+abl+add	அவையினும்
அவை+pron+dem+dist+3pl+soc+add	அவையோடும்
அவை+pron+dem+dist+3pl+inst+add	அவையாலும்
அவை+pron+dem+dist+3pl+acc+add	அவையையும்
அவை+pron+dem+dist+3pl+acc+sandhip	அவையைப்
அவை+pron+dem+dist+3pl+acc+sandhic	அவையைச்
அவை+pron+dem+dist+3pl+acc+sandhit	அவையைத்
அவை+pron+dem+dist+3pl+acc+sandhik	அவையைக்
அவை+pron+dem+dist+3pl+dat+add	அவற்றுக்கும்
அவை+pron+dem+dist+3pl+soc+add	அவற்றுடனும்
அவை+pron+dem+dist+3pl+loc+add	அவற்றிலும்
அவை+pron+dem+dist+3pl+loc+foc=ஏயே	அவற்றிலேயே
அவை+pron+dem+dist+3pl+abl+add	அவற்றிலிருந்தும்
அவை+pron+dem+dist+3pl+loc+add	அவற்றிடமும்
அவை+pron+dem+dist+3pl+abl+add	அவற்றினும்
அவை+pron+dem+dist+3pl+inst+add	அவற்றாலும்
அவை+pron+dem+dist+pl+3sgn+acc+add	அவற்றையும்
எம்+pron+pssd+1pl+excl+soc+add	எம்முடனும்
எம்+pron+pssd+1pl+excl+soc+add	எம்மோடும்
எம்+pron+pssd+1pl+excl+loc+add	எம்மிலும்
எம்+pron+pssd+1pl+excl+loc+foc=ஏயே	எம்மிலேயே
எம்+pron+pssd+1pl+excl+loc+add	எம்மிடமும்
எம்+pron+pssd+1pl+excl+abl+add	எம்மினும்
எம்+pron+pssd+1pl+excl+abl+add	எம்மிலிருந்தும்
எம்+pron+pssd+1pl+excl+abl+add	எம்மிலும்
எம்+pron+pssd+1pl+excl+inst+add	எம்மாலும்
எம்+pron+pssd+1pl+excl+acc+add	எம்மையும்
எம்+pron+pssd+1pl+excl+acc+sandhip	எம்மைப்
எம்+pron+pssd+1pl+excl+acc+sandhic	எம்மைச்
எம்+pron+pssd+1pl+excl+acc+sandhit	எம்மைத்
எம்+pron+pssd+1pl+excl+acc+sandhik	எம்மைக்
எம்+pron+pssd+1pl+excl+gen+add	எமதும்
எம்+pron+pssd+1pl+excl+dat+add	எமக்கும்
என்+pron+pssd+1sg+gen+add	எனதும்
என்+pron+pssd+1sg+dat+add	எனக்கும்
என்+pron+pssd+1sg+soc+add	என்னுடனும்
என்+pron+pssd+1sg+gen+add	என்னதும்
என்+pron+pssd+1sg+loc+add	என்னிடமும்
என்+pron+pssd+1sg+loc+add	என்னிலும்
என்+pron+pssd+1sg+loc+foc=ஏயே	என்னிலேயே
என்+pron+pssd+1sg+abl+add	என்னிலிருந்தும்
என்+pron+pssd+1sg+abl+add	என்னிலும்
என்+pron+pssd+1sg+abl+add	என்னினும்
என்+pron+pssd+1sg+acc+add	என்னையும்
என்+pron+pssd+1sg+acc+sandhip	என்னைப்
என்+pron+pssd+1sg+acc+sandhic	என்னைச்
என்+pron+pssd+1sg+acc+sandhit	என்னைத்
என்+pron+pssd+1sg+acc+sandhik	என்னைக்
என்+pron+pssd+1sg+soc+add	என்னோடும்
எங்கள்+pron+pssd+1pl+excl+soc+add	எங்களுடனும்
எங்கள்+pron+pssd+1pl+excl+soc+add	எங்களோடும்
எங்கள்+pron+pssd+1pl+excl+dat+add	எங்களுக்கும்
எங்கள்+pron+pssd+1pl+excl+loc+add	எங்களிலும்
எங்கள்+pron+pssd+1pl+excl+loc+foc=ஏயே	எங்களிலேயே
எங்கள்+pron+pssd+1pl+excl+loc+add	எங்களிடமும்
எங்கள்+pron+pssd+1pl+excl+gen+add	எங்களதும்
எங்கள்+pron+pssd+1pl+excl+abl+add	எங்களினும்
எங்கள்+pron+pssd+1pl+excl+abl+add	எங்களிலிருந்தும்
எங்கள்+pron+pssd+1pl+excl+abl+add	எங்களிலும்
எங்கள்+pron+pssd+1pl+excl+inst+add	எங்களாலும்
எங்கள்+pron+pssd+1pl+excl+acc+add	எங்களையும்
எங்கள்+pron+pssd+1pl+excl+acc+sandhip	எங்களைப்
எங்கள்+pron+pssd+1pl+excl+acc+sandhic	எங்களைச்
எங்கள்+pron+pssd+1pl+excl+acc+sandhit	எங்களைத்
எங்கள்+pron+pssd+1pl+excl+acc+sandhik	எங்களைக்
தாம்+pron+3pl+refl+gen+add	தமும்
தாம்+pron+3pl+refl+loc+add	தம்மிலும்
தாம்+pron+3pl+refl+loc+foc=ஏயே	தம்மிலேயே
தாம்+pron+3pl+refl+abl+add	தம்மிலிருந்தும்
தாம்+pron+3pl+refl+loc+add	தம்மிடமும்
தாம்+pron+3pl+refl+abl+add	தம்மினும்
தாம்+pron+3pl+refl+soc+add	தம்மோடும்
தாம்+pron+3pl+refl+soc+add	தம்மொடும்
தாம்+pron+3pl+refl+inst+add	தம்மாலும்
தாம்+pron+3pl+refl+acc+add	தம்மையும்
தாம்+pron+3pl+refl+acc+sandhip	தம்மைப்
தாம்+pron+3pl+refl+acc+sandhic	தம்மைச்
தாம்+pron+3pl+refl+acc+sandhit	தம்மைத்
தாம்+pron+3pl+refl+acc+sandhik	தம்மைக்
தாம்+pron+3pl+refl+dat+add	தமக்கும்
தாம்+pron+3pl+refl+gen+add	தமதும்
தாங்கள்+pron+3pl+refl+dat+add	தங்களுக்கும்
தாங்கள்+pron+3pl+refl+gen+add	தங்களதும்
தாங்கள்+pron+3pl+refl+loc+add	தங்களிலும்
தாங்கள்+pron+3pl+refl+loc+foc=ஏயே	தங்களிலேயே
தாங்கள்+pron+3pl+refl+abl+add	தங்களிலிருந்தும்
தாங்கள்+pron+3pl+refl+loc+add	தங்களிடமும்
தாங்கள்+pron+3pl+refl+abl+add	தங்களினும்
தாங்கள்+pron+3pl+refl+soc+add	தங்களொடும்
தாங்கள்+pron+3pl+refl+soc+add	தங்களோடும்
தாங்கள்+pron+3pl+refl+inst+add	தங்களாலும்
தாங்கள்+pron+3pl+refl+acc+add	தங்களையும்
தாங்கள்+pron+3pl+refl+acc+sandhip	தங்களைப்
தாங்கள்+pron+3pl+refl+acc+sandhic	தங்களைச்
தாங்கள்+pron+3pl+refl+acc+sandhit	தங்களைத்
தாங்கள்+pron+3pl+refl+acc+sandhik	தங்களைக்
தன்+pron+3sg+refl+gen+add	தனதும்
தன்+pron+3sg+refl+dat+add	தனக்கும்
தன்+pron+3sg+refl+gen+add	தன்னதும்
தன்+pron+3sg+refl+loc+add	தன்னிலும்
தன்+pron+3sg+refl+loc+foc=ஏயே	தன்னிலேயே
தன்+pron+3sg+refl+abl+add	தன்னிலிருந்தும்
தன்+pron+3sg+refl+loc+add	தன்னிடமும்
தன்+pron+3sg+refl+abl+add	தன்னினும்
தன்+pron+3sg+refl+soc+add	தன்னோடும்
தன்+pron+3sg+refl+soc+add	தன்னொடும்
தன்+pron+3sg+refl+inst+add	தன்னாலும்
தன்+pron+3sg+refl+acc+add	தன்னையும்
தன்+pron+3sg+refl+acc+sandhip	தன்னைப்
தன்+pron+3sg+refl+acc+sandhic	தன்னைச்
தன்+pron+3sg+refl+acc+sandhit	தன்னைத்
தன்+pron+3sg+refl+acc+sandhik	தன்னைக்
நம்+pron+pssd+1pl+incl+gen+add	நம்மதும்
நம்+pron+pssd+1pl+incl+soc+add	நம்முடனும்
நம்+pron+pssd+1pl+incl+loc+add	நம்மிலும்
நம்+pron+pssd+1pl+incl+loc+foc=ஏயே	நம்மிலேயே
நம்+pron+pssd+1pl+incl+abl+add	நம்மிலும்
நம்+pron+pssd+1pl+incl+abl+add	நம்மிலிருந்தும்
நம்+pron+pssd+1pl+incl+loc+add	நம்மிடமும்
நம்+pron+pssd+1pl+incl+abl+add	நம்மினும்
நம்+pron+pssd+1pl+incl+soc+add	நம்மோடும்
நம்+pron+pssd+1pl+incl+inst+add	நம்மாலும்
நம்+pron+pssd+1pl+incl+acc+add	நம்மையும்
நம்+pron+pssd+1pl+incl+acc+sandhip	நம்மைப்
நம்+pron+pssd+1pl+incl+acc+sandhic	நம்மைச்
நம்+pron+pssd+1pl+incl+acc+sandhit	நம்மைத்
நம்+pron+pssd+1pl+incl+acc+sandhik	நம்மைக்
நம்+pron+pssd+1pl+incl+dat+add	நமக்கும்
நம்+pron+pssd+1pl+incl+gen+add	நமதும்
